Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0138111774	0	0	0	0	0	0	0	0	0	0	3
2	10	0	0.0276223547	0	0	0	0	0	0	0	0	0	0	3
3	11	0	0.0414335321	0	0	0	0	0	0	0	0	0	0	3
4	12	0	0.0552447094	0	0	0	0	0	0	0	0	0	0	3
5	14	0	0.0690558868	0	0	0	0	0	0	0	0	0	0	3
6	15	0	0.0828670641	0	0	0	0	0	0	0	0	0	0	3
7	17	0	0.0966782415	0	0	0	0	0	0	0	0	0	0	3
8	18	0	0.110489419	0	0	0	0	0	0	0	0	0	0	3
9	19	0	0.124300596	0	0	0	0	0	0	0	0	0	0	3
10	21	0	0.138111774	0	0	0	0	0	0	0	0	0	0	3
11	22	0	0.151922951	0	0	0	0	0	0	0	0	0	0	3
12	23	0	0.165734128	0	0	0	0	0	0	0	0	0	0	3
13	25	0	0.179545306	0	0	0	0	0	0	0	0	0	0	3
14	26	0	0.193356483	0	0	0	0	0	0	0	0	0	0	3
15	27	0	0.20716766	0	0	0	0	0	0	0	0	0	0	3
16	28	0	0.220978838	0	0	0	0	0	0	0	0	0	0	3
17	29	0	0.234790015	0	0	0	0	0	0	0	0	0	0	3
18	31	0	0.248601192	0	0	0	0	0	0	0	0	0	0	3
19	32	0	0.26241237	0	0	0	0	0	0	0	0	0	0	3
20	34	0	0.276223547	0	0	0	0	0	0	0	0	0	0	3
21	35	0	0.290034724	0	0	0	0	0	0	0	0	0	0	3
22	36	0	0.303845902	0	0	0	0	0	0	0	0	0	0	3
23	38	0	0.317657079	0	0	0	0	0	0	0	0	0	0	3
24	39	0	0.331468256	0	0	0	0	0	0	0	0	0	0	3
25	40	0	0.345279434	0	0	0	0	0	0	0	0	0	0	3
26	42	0	0.359090611	0	0	0	0	0	0	0	0	0	0	3
27	43	0	0.372901789	0	0	0	0	0	0	0	0	0	0	3
28	44	0	0.386712966	0	0	0	0	0	0	0	0	0	0	3
29	46	0	0.400524143	0	0	0	0	0	0	0	0	0	0	3
30	47	0	0.414335321	0	0	0	0	0	0	0	0	0	0	3
31	48	0	0.428146498	0	0	0	0	0	0	0	0	0	0	3
32	50	0	0.441957675	0	0	0	0	0	0	0	0	0	0	3
33	51	0	0.455768853	0	0	0	0	0	0	0	0	0	0	3
34	52	0	0.46958003	0	0	0	0	0	0	0	0	0	0	3
35	54	0	0.483391207	0	0	0	0	0	0	0	0	0	0	3
36	55	0	0.497202385	0	0	0	0	0	0	0	0	0	0	3
37	56	0	0.511013562	0	0	0	0	0	0	0	0	0	0	3
38	59	0	0.524824739	0	0	0	0	0	0	0	0	0	0	3
39	63	0	0.538635917	0	0	0	0	0	0	0	0	0	0	3
40	64	0	0.552447094	0	0	0	0	0	0	0	0	0	0	3
41	65	0	0.566258272	0	0	0	0	0	0	0	0	0	0	3
42	67	0	0.580069449	0	0	0	0	0	0	0	0	0	0	3
43	68	0	0.593880626	0	0	0	0	0	0	0	0	0	0	3
44	70	0	0.607691804	0	0	0	0	0	0	0	0	0	0	3
45	72	0	0.621502981	0	0	0	0	0	0	0	0	0	0	3
46	74	0	0.635314158	0	0	0	0	0	0	0	0	0	0	3
47	76	0	0.649125336	0	0	0	0	0	0	0	0	0	0	3
48	80	0	0.662936513	0	0	0	0	0	0	0	0	0	0	3
49	83	0	0.67674769	0	0	0	0	0	0	0	0	0	0	3
50	84	0	0.690558868	0	0	0	0	0	0	0	0	0	0	3
51	86	0	0.704370045	0	0	0	0	0	0	0	0	0	0	3
52	87	0	0.718181222	0	0	0	0	0	0	0	0	0	0	3
53	88	0	0.7319924	0	0	0	0	0	0	0	0	0	0	3
54	90	0	0.745803577	0	0	0	0	0	0	0	0	0	0	3
55	91	0	0.759614754	0	0	0	0	0	0	0	0	0	0	3
56	93	0	0.773425932	0	0	0	0	0	0	0	0	0	0	3
57	94	0	0.787237109	0	0	0	0	0	0	0	0	0	0	3
58	96	0	0.801048287	0	0	0	0	0	0	0	0	0	0	3
59	97	0	0.814859464	0	0	0	0	0	0	0	0	0	0	3
60	98	0	0.828670641	0	0	0	0	0	0	0	0	0	0	3
61	100	0	0.842481819	0	0	0	0	0	0	0	0	0	0	3
62	101	0	0.856292996	0	0	0	0	0	0	0	0	0	0	3
63	102	0	0.870104173	0	0	0	0	0	0	0	0	0	0	3
64	104	0	0.883915351	0	0	0	0	0	0	0	0	0	0	3
65	105	0	0.897726528	0	0	0	0	0	0	0	0	0	0	3
66	106	0	0.911537705	0	0	0	0	0	0	0	0	0	0	3
67	108	0	0.925348883	0	0	0	0	0	0	0	0	0	0	3
68	109	0	0.93916006	0	0	0	0	0	0	0	0	0	0	3
69	111	0	0.952971237	0	0	0	0	0	0	0	0	0	0	3
70	112	0	0.966782415	0	0	0	0	0	0	0	0	0	0	3
71	113	0	0.980593592	0	0	0	0	0	0	0	0	0	0	3
72	115	0	0.994404769	0	0	0	0	0	0	0	0	0	0	3
73	116	0	1.00821595	0	0	0	0	0	5e-06	0	100	0	0	3
74	117	0	1.02202712	0	0	0	0	0	5e-06	0	100	0	0	3
75	119	0	1.0358383	0	0	0	0	0	5e-06	0	100	0	0	3
