Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0138111774	0.0141614687	0.0141614687	0.0141614687	0.0141614687	0	0	0	0	0	0	3
2	10	0	0.0276223547	8.83667794e-05	0.00712491773	8.83667794e-05	0.0141614687	0.00703655095	0	0	0	0	0	3
3	11	0	0.0414335321	-9.41928205e-05	0.00471854754	-9.41928205e-05	0.0141614687	0.00944292113	0	0	0	0	0	3
4	12	0	0.0552447094	-5.12649516e-05	0.00352609442	-9.41928205e-05	0.0141614687	0.0106353743	0	0	0	0	0	3
5	14	0	0.0690558868	-4.10870851e-05	0.00281265812	-9.41928205e-05	0.0141614687	0.0113488106	0	0	0	0	0	3
6	15	0	0.0828670641	-6.37974679e-05	0.00233324885	-9.41928205e-05	0.0141614687	0.0118282198	0	0	0	0	0	3
7	17	0	0.0966782415	-0.000138123321	0.00198019569	-0.000138123321	0.0141614687	0.012181273	0	0	0	0	0	3
8	18	0	0.110489419	-0.000157875008	0.00171293685	-0.000157875008	0.0141614687	0.0124485318	0	0	0	0	0	3
9	19	0	0.124300596	-0.000153597574	0.00150554414	-0.000157875008	0.0141614687	0.0126559245	0	0	0	0	0	3
10	21	0	0.138111774	-0.000179838587	0.00133700586	-0.000179838587	0.0141614687	0.0128244628	0	0	0	0	0	3
11	22	0	0.151922951	-0.000154628252	0.00120140276	-0.000179838587	0.0141614687	0.0129600659	0	0	0	0	0	3
12	23	0	0.165734128	-0.000236851317	0.00108154826	-0.000236851317	0.0141614687	0.0130799204	0	0	0	0	0	3
13	25	0	0.179545306	-0.00028174825	0.000976679294	-0.00028174825	0.0141614687	0.0131847894	0	0	0	0	0	3
14	26	0	0.193356483	-0.000249221672	0.000889114939	-0.00028174825	0.0141614687	0.0132723537	0	0	0	0	0	3
15	27	0	0.20716766	-0.000299591071	0.000809867872	-0.000299591071	0.0141614687	0.0133516008	0	0	0	0	0	3
16	28	0	0.220978838	-0.000397779885	0.000734389887	-0.000397779885	0.0141614687	0.0134270788	0	0	0	0	0	3
17	29	0	0.234790015	-0.00251835165	0.00054305215	-0.00251835165	0.0141614687	0.0136184165	0	0	0	0	0	3
18	31	0	0.248601192	-0.000504788451	0.000484838783	-0.00251835165	0.0141614687	0.0136766299	0	0	0	0	0	3
19	32	0	0.26241237	-0.000590808705	0.000428225757	-0.00251835165	0.0141614687	0.0137332429	0	0	0	0	0	3
20	34	0	0.276223547	-0.000578959654	0.000377866487	-0.00251835165	0.0141614687	0.0137836022	0	0	0	0	0	3
21	35	0	0.290034724	-0.000417304322	0.00034000121	-0.00251835165	0.0141614687	0.0138214675	0	0	0	0	0	3
22	36	0	0.303845902	-0.000667667023	0.000294198109	-0.00251835165	0.0141614687	0.0138672706	0	0	0	0	0	3
23	38	0	0.317657079	-0.0008468585	0.000244586952	-0.00251835165	0.0141614687	0.0139168817	0	0	0	0	0	3
24	39	0	0.331468256	-0.000621223686	0.000208511508	-0.00251835165	0.0141614687	0.0139529572	0	0	0	0	0	3
25	40	0	0.345279434	-0.000724204803	0.000171202856	-0.00251835165	0.0141614687	0.0139902658	0	0	0	0	0	3
26	42	0	0.359090611	-0.000339933676	0.000151543759	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
27	43	0	0.372901789	0.00854493085	0.000462409947	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
28	44	0	0.386712966	0.000981101941	0.000480934661	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
29	46	0	0.400524143	0.000933405994	0.000496537121	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
30	47	0	0.414335321	0.000745992329	0.000504852294	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
31	48	0	0.428146498	0.000944822927	0.000519044896	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
32	50	0	0.441957675	0.000453174774	0.000516986454	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
33	51	0	0.455768853	0.000286482219	0.000510001477	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
34	52	0	0.46958003	-0.000917245676	0.00046802362	-0.00251835165	0.0141614687	0.0140099249	0	0	0	0	0	3
