Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0138111774	101359.091	101359.091	101359.091	101359.091	0	0	0	0	0	0	3
2	10	0	0.0276223547	101350.507	101354.799	101350.507	101359.091	4.29196718	0	0	0	0	0	3
3	11	0	0.0414335321	101344.148	101351.248	101344.148	101359.091	7.84235374	0	0	0	0	0	3
4	12	0	0.0552447094	101342.697	101349.111	101342.697	101359.091	9.98030269	0	0	0	0	0	3
5	14	0	0.0690558868	101342.55	101347.798	101342.55	101359.091	11.2924321	0	0	0	0	0	3
6	15	0	0.0828670641	101342.894	101346.981	101342.55	101359.091	12.1099035	0	0	0	0	0	3
7	17	0	0.0966782415	101343.248	101346.448	101342.55	101359.091	12.6431538	0	0	0	0	0	3
8	18	0	0.110489419	101343.777	101346.114	101342.55	101359.091	12.9770158	0	0	0	0	0	3
9	19	0	0.124300596	101342.851	101345.751	101342.55	101359.091	13.3395988	0	0	0	0	0	3
10	21	0	0.138111774	101342.275	101345.404	101342.275	101359.091	13.6871976	0	0	0	0	0	3
11	22	0	0.151922951	101342.871	101345.173	101342.275	101359.091	13.9174106	0	0	0	0	0	3
12	23	0	0.165734128	101342.815	101344.977	101342.275	101359.091	14.1139382	0	0	0	0	0	3
13	25	0	0.179545306	101342.837	101344.812	101342.275	101359.091	14.2785361	0	0	0	0	0	3
14	26	0	0.193356483	101342.807	101344.669	101342.275	101359.091	14.4217983	0	0	0	0	0	3
15	27	0	0.20716766	101343.128	101344.566	101342.275	101359.091	14.5245466	0	0	0	0	0	3
16	28	0	0.220978838	101342.581	101344.442	101342.275	101359.091	14.6486234	0	0	0	0	0	3
17	29	0	0.234790015	101342.445	101344.325	101342.275	101359.091	14.7661218	0	0	0	0	0	3
18	31	0	0.248601192	101342.022	101344.197	101342.022	101359.091	14.894064	0	0	0	0	0	3
19	32	0	0.26241237	101342.241	101344.094	101342.022	101359.091	14.99702	0	0	0	0	0	3
20	34	0	0.276223547	101341.812	101343.98	101341.812	101359.091	15.1110952	0	0	0	0	0	3
21	35	0	0.290034724	101341.85	101343.878	101341.812	101359.091	15.2125041	0	0	0	0	0	3
22	36	0	0.303845902	101341.664	101343.778	101341.664	101359.091	15.3131744	0	0	0	0	0	3
23	38	0	0.317657079	101341.741	101343.689	101341.664	101359.091	15.401737	0	0	0	0	0	3
24	39	0	0.331468256	101341.529	101343.599	101341.529	101359.091	15.491761	0	0	0	0	0	3
25	40	0	0.345279434	101341.319	101343.508	101341.319	101359.091	15.5829694	0	0	0	0	0	3
26	42	0	0.359090611	101341.373	101343.426	101341.319	101359.091	15.6650648	0	0	0	0	0	3
27	43	0	0.372901789	101341.733	101343.363	101341.319	101359.091	15.7277702	0	0	0	0	0	3
28	44	0	0.386712966	101342.036	101343.316	101341.319	101359.091	15.7751658	0	0	0	0	0	3
29	46	0	0.400524143	101342.202	101343.277	101341.319	101359.091	15.8135757	0	0	0	0	0	3
30	47	0	0.414335321	101342.398	101343.248	101341.319	101359.091	15.8428742	0	0	0	0	0	3
31	48	0	0.428146498	101342.493	101343.224	101341.319	101359.091	15.8672268	0	0	0	0	0	3
32	50	0	0.441957675	101342.619	101343.205	101341.319	101359.091	15.8861189	0	0	0	0	0	3
33	51	0	0.455768853	101342.549	101343.185	101341.319	101359.091	15.9060019	0	0	0	0	0	3
34	52	0	0.46958003	101342.542	101343.166	101341.319	101359.091	15.9249115	0	0	0	0	0	3
35	54	0	0.483391207	101342.467	101343.146	101341.319	101359.091	15.9448816	0	0	0	0	0	3
36	55	0	0.497202385	101342.452	101343.127	101341.319	101359.091	15.9641701	0	0	0	0	0	3
37	56	0	0.511013562	101342.312	101343.105	101341.319	101359.091	15.9861985	0	0	0	0	0	3
38	59	0	0.524824739	101342.33	101342.652	101341.319	101350.507	9.18803648	0	0	0	0	0	3
39	63	0	0.538635917	101342.481	101342.435	101341.319	101344.148	2.82884396	0	0	0	0	0	3
40	64	0	0.552447094	101342.483	101342.39	101341.319	101343.777	2.45792055	0	0	0	0	0	3
41	65	0	0.566258272	101342.561	101342.386	101341.319	101343.777	2.45792055	0	0	0	0	0	3
42	67	0	0.580069449	101342.595	101342.387	101341.319	101343.777	2.45792055	0	0	0	0	0	3
43	68	0	0.593880626	101342.559	101342.378	101341.319	101343.777	2.45792055	0	0	0	0	0	3
44	70	0	0.607691804	101342.402	101342.355	101341.319	101343.777	2.45792055	0	0	0	0	0	3
45	72	0	0.621502981	101342.401	101342.318	101341.319	101343.128	1.80894734	0	0	0	0	0	3
46	74	0	0.635314158	101342.503	101342.309	101341.319	101343.128	1.80894734	0	0	0	0	0	3
47	76	0	0.649125336	101342.543	101342.316	101341.319	101343.128	1.80894734	0	0	0	0	0	3
48	80	0	0.662936513	101342.414	101342.304	101341.319	101343.128	1.80894734	0	0	0	0	0	3
49	83	0	0.67674769	101342.378	101342.292	101341.319	101343.128	1.80894734	0	0	0	0	0	3
50	84	0	0.690558868	101342.364	101342.279	101341.319	101343.128	1.80894734	0	0	0	0	0	3
