Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	8	0	0.0138111774	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	10	0	0.0276223547	293.2	293.2	293.2	293.2	6.62748789e-09	0	0	0	0	0	3
3	11	0	0.0414335321	293.2	293.2	293.2	293.2	9.73324177e-09	0	0	0	0	0	3
4	12	0	0.0552447094	293.2	293.2	293.2	293.2	1.16968408e-08	0	0	0	0	0	3
5	14	0	0.0690558868	293.2	293.2	293.2	293.2	1.33561002e-08	0	0	0	0	0	3
6	15	0	0.0828670641	293.2	293.2	293.2	293.2	1.5306739e-08	0	0	0	0	0	3
7	17	0	0.0966782415	293.2	293.2	293.2	293.2	1.77687411e-08	0	0	0	0	0	3
8	18	0	0.110489419	293.2	293.2	293.2	293.2	2.09626592e-08	0	0	0	0	0	3
9	19	0	0.124300596	293.2	293.2	293.2	293.2	2.45375418e-08	0	0	0	0	0	3
10	21	0	0.138111774	293.2	293.2	293.2	293.2	2.8163015e-08	0	0	0	0	0	3
11	22	0	0.151922951	293.2	293.2	293.2	293.2	3.20921458e-08	0	0	0	0	0	3
12	23	0	0.165734128	293.2	293.2	293.2	293.2	3.20921458e-08	0	0	0	0	0	3
13	25	0	0.179545306	293.2	293.2	293.2	293.2	3.20921458e-08	0	0	0	0	0	3
14	26	0	0.193356483	293.2	293.2	293.2	293.2	3.20921458e-08	0	0	0	0	0	3
15	27	0	0.20716766	293.2	293.2	293.2	293.2	3.20921458e-08	0	0	0	0	0	3
16	28	0	0.220978838	293.2	293.2	293.2	293.2	4.69142947e-08	0	0	0	0	0	3
17	29	0	0.234790015	293.2	293.2	293.2	293.2	7.70896236e-08	0	0	0	0	0	3
18	31	0	0.248601192	293.200001	293.2	293.2	293.200001	1.17479829e-07	0	0	0	0	0	3
19	32	0	0.26241237	293.200001	293.2	293.2	293.200001	1.59374508e-07	0	0	0	0	0	3
20	34	0	0.276223547	293.200001	293.2	293.2	293.200001	2.10001474e-07	0	0	0	0	0	3
21	35	0	0.290034724	293.200001	293.2	293.2	293.200001	2.67525309e-07	0	0	0	0	0	3
22	36	0	0.303845902	293.200002	293.2	293.2	293.200002	3.33298885e-07	0	0	0	0	0	3
23	38	0	0.317657079	293.200002	293.2	293.2	293.200002	4.02950661e-07	0	0	0	0	0	3
24	39	0	0.331468256	293.200002	293.2	293.2	293.200002	4.78331401e-07	0	0	0	0	0	3
25	40	0	0.345279434	293.200002	293.2	293.2	293.200002	5.57644455e-07	0	0	0	0	0	3
26	42	0	0.359090611	293.200003	293.200001	293.2	293.200003	6.40229814e-07	0	0	0	0	0	3
27	43	0	0.372901789	293.200003	293.200001	293.2	293.200003	7.21277615e-07	0	0	0	0	0	3
28	44	0	0.386712966	293.200003	293.200001	293.2	293.200003	8.00512908e-07	0	0	0	0	0	3
29	46	0	0.400524143	293.200003	293.200001	293.2	293.200003	8.78030221e-07	0	0	0	0	0	3
30	47	0	0.414335321	293.200003	293.200001	293.2	293.200003	9.53492872e-07	0	0	0	0	0	3
31	48	0	0.428146498	293.200003	293.200001	293.2	293.200003	1.02928198e-06	0	0	0	0	0	3
32	50	0	0.441957675	293.200003	293.200001	293.2	293.200003	1.10466402e-06	0	0	0	0	0	3
33	51	0	0.455768853	293.200004	293.200001	293.2	293.200004	1.18025122e-06	0	0	0	0	0	3
34	52	0	0.46958003	293.200004	293.200001	293.2	293.200004	1.25502982e-06	0	0	0	0	0	3
35	54	0	0.483391207	293.200004	293.200001	293.2	293.200004	1.32860947e-06	0	0	0	0	0	3
36	55	0	0.497202385	293.200004	293.200001	293.2	293.200004	1.40156493e-06	0	0	0	0	0	3
37	56	0	0.511013562	293.200004	293.200001	293.2	293.200004	1.47379194e-06	0	0	0	0	0	3
38	59	0	0.524824739	293.200004	293.200002	293.2	293.200004	1.58591854e-06	0	0	0	0	0	3
39	63	0	0.538635917	293.200004	293.200002	293.2	293.200004	1.69876614e-06	0	0	0	0	0	3
40	64	0	0.552447094	293.200004	293.200002	293.2	293.200004	1.81366818e-06	0	0	0	0	0	3
41	65	0	0.566258272	293.200004	293.200002	293.2	293.200004	1.92937648e-06	0	0	0	0	0	3
42	67	0	0.580069449	293.200004	293.200002	293.2	293.200004	2.04678588e-06	0	0	0	0	0	3
43	68	0	0.593880626	293.200004	293.200002	293.2	293.200004	2.16525956e-06	0	0	0	0	0	3
44	70	0	0.607691804	293.200004	293.200002	293.2	293.200004	2.28602289e-06	0	0	0	0	0	3
45	72	0	0.621502981	293.200004	293.200002	293.2	293.200004	2.40729196e-06	0	0	0	0	0	3
46	74	0	0.635314158	293.200004	293.200002	293.2	293.200004	2.52849293e-06	0	0	0	0	0	3
47	76	0	0.649125336	293.200004	293.200003	293.2	293.200004	2.64969054e-06	0	0	0	0	0	3
48	80	0	0.662936513	293.200004	293.200003	293.2	293.200004	2.76981183e-06	0	0	0	0	0	3
49	83	0	0.67674769	293.200004	293.200003	293.2	293.200004	2.88473206e-06	0	0	0	0	0	3
50	84	0	0.690558868	293.200004	293.200003	293.2	293.200004	2.9951284e-06	0	0	0	0	0	3
51	86	0	0.704370045	293.200004	293.200003	293.2	293.200004	3.10418221e-06	0	0	0	0	0	3
52	87	0	0.718181222	293.200004	293.200003	293.2	293.200004	3.1977558e-06	0	0	0	0	0	3
53	88	0	0.7319924	293.200004	293.200003	293.2	293.200004	3.27790252e-06	0	0	0	0	0	3
54	90	0	0.745803577	293.200004	293.200003	293.200001	293.200004	3.34399789e-06	0	0	0	0	0	3
55	91	0	0.759614754	293.200004	293.200003	293.200001	293.200004	3.40222437e-06	0	0	0	0	0	3
56	93	0	0.773425932	293.200004	293.200004	293.200001	293.200004	3.33667685e-06	0	0	0	0	0	3
57	94	0	0.787237109	293.200004	293.200004	293.200001	293.200004	3.09059146e-06	0	0	0	0	0	3
58	96	0	0.801048287	293.200004	293.200004	293.200002	293.200004	2.79404782e-06	0	0	0	0	0	3
59	97	0	0.814859464	293.200004	293.200004	293.200002	293.200004	2.57330225e-06	0	0	0	0	0	3
60	98	0	0.828670641	293.200004	293.200004	293.200002	293.200004	2.29650232e-06	0	0	0	0	0	3
61	100	0	0.842481819	293.200004	293.200004	293.200002	293.200004	2.08820808e-06	0	0	0	0	0	3
62	101	0	0.856292996	293.200004	293.200004	293.200003	293.200004	1.85841986e-06	0	0	0	0	0	3
63	102	0	0.870104173	293.200004	293.200004	293.200003	293.200004	1.73476116e-06	0	0	0	0	0	3
64	104	0	0.883915351	293.200004	293.200004	293.200003	293.200004	1.62341667e-06	0	0	0	0	0	3
65	105	0	0.897726528	293.200004	293.200004	293.200003	293.200004	1.51476894e-06	0	0	0	0	0	3
66	106	0	0.911537705	293.200004	293.200004	293.200003	293.200004	1.42137202e-06	0	0	0	0	0	3
67	108	0	0.925348883	293.200004	293.200004	293.200003	293.200004	1.2603295e-06	0	0	0	0	0	3
68	109	0	0.93916006	293.200004	293.200004	293.200003	293.200004	1.1217744e-06	0	0	0	0	0	3
69	111	0	0.952971237	293.200004	293.200004	293.200004	293.200004	9.64241849e-07	0	0	0	0	0	3
70	112	0	0.966782415	293.200004	293.200004	293.200004	293.200004	8.40557789e-07	0	0	0	0	0	3
71	113	0	0.980593592	293.200004	293.200004	293.200004	293.200004	7.32963542e-07	0	0	0	0	0	3
72	115	0	0.994404769	293.200004	293.200004	293.200004	293.200004	6.08276764e-07	0	0	0	0	0	3
73	116	0	1.00821595	293.200004	293.200004	293.200004	293.200004	4.8932111e-07	2.93200004e-06	0	100	0	0	3
74	117	0	1.02202712	293.200004	293.200004	293.200004	293.200004	3.82506016e-07	2.93200004e-06	0	100	0	0	3
75	119	0	1.0358383	293.200004	293.200004	293.200004	293.200004	3.6908466e-07	2.93200004e-06	0	100	0	0	3
76	120	0	1.04964948	293.200004	293.200004	293.200004	293.200004	2.95761993e-07	2.93200004e-06	0	100	0	0	3
77	122	0	1.06346066	293.200004	293.200004	293.200004	293.200004	2.67572148e-07	2.93200004e-06	0	100	0	0	3
78	123	0	1.07727183	293.200004	293.200004	293.200004	293.200004	2.07036976e-07	2.93200004e-06	0	100	0	0	3
79	124	0	1.09108301	293.200004	293.200004	293.200004	293.200004	1.72726288e-07	2.93200004e-06	0	100	0	0	3
80	126	0	1.10489419	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
81	127	0	1.11870537	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
82	129	0	1.13251654	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
83	130	0	1.14632772	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
84	131	0	1.1601389	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
85	133	0	1.17395008	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
86	134	0	1.18776125	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
87	136	0	1.20157243	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
88	137	0	1.21538361	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
89	139	0	1.22919478	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
90	140	0	1.24300596	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
91	141	0	1.25681714	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
92	143	0	1.27062832	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
93	144	0	1.28443949	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
94	146	0	1.29825067	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
95	150	0	1.31206185	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
96	154	0	1.32587303	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
97	159	0	1.3396842	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
98	163	0	1.35349538	293.200004	293.200004	293.200004	293.200004	1.71755062e-07	2.93200004e-06	0	100	0	0	3
99	166	0	1.36730656	293.200004	293.200004	293.200004	293.200004	1.6289664e-07	2.93200004e-06	0	100	0	0	3
100	169	0	1.38111774	293.200004	293.200004	293.200004	293.200004	1.6289664e-07	2.93200004e-06	0	100	0	0	3
101	173	0	1.39492891	293.200004	293.200004	293.200004	293.200004	1.6289664e-07	2.93200004e-06	0	100	0	0	3
102	176	0	1.40874009	293.200004	293.200004	293.200004	293.200004	1.70313228e-07	2.93200004e-06	0	100	0	0	3
103	179	0	1.42255127	293.200005	293.200004	293.200004	293.200005	1.73733497e-07	2.93200005e-06	0	100	0	0	3
104	182	0	1.43636244	293.200004	293.200004	293.200004	293.200005	1.4175157e-07	2.93200004e-06	0	100	0	0	3
105	185	0	1.45017362	293.200004	293.200004	293.200004	293.200005	1.15316197e-07	2.93200004e-06	0	100	0	0	3
