Iteration	CPUTime	PhysTime	Travels
1	8	0	0.0138111774
2	10	0	0.0276223547
3	11	0	0.0414335321
4	12	0	0.0552447094
5	14	0	0.0690558868
6	15	0	0.0828670641
7	17	0	0.0966782415
8	18	0	0.110489419
9	19	0	0.124300596
10	21	0	0.138111774
11	22	0	0.151922951
12	23	0	0.165734128
13	25	0	0.179545306
14	26	0	0.193356483
15	27	0	0.20716766
16	28	0	0.220978838
17	29	0	0.234790015
18	31	0	0.248601192
19	32	0	0.26241237
20	34	0	0.276223547
21	35	0	0.290034724
22	36	0	0.303845902
23	38	0	0.317657079
24	39	0	0.331468256
25	40	0	0.345279434
26	42	0	0.359090611
27	43	0	0.372901789
28	44	0	0.386712966
29	46	0	0.400524143
30	47	0	0.414335321
31	48	0	0.428146498
32	50	0	0.441957675
33	51	0	0.455768853
34	52	0	0.46958003
35	54	0	0.483391207
36	55	0	0.497202385
37	56	0	0.511013562
38	59	0	0.524824739
39	63	0	0.538635917
40	64	0	0.552447094
41	65	0	0.566258272
42	67	0	0.580069449
43	68	0	0.593880626
44	70	0	0.607691804
45	72	0	0.621502981
46	74	0	0.635314158
47	76	0	0.649125336
48	80	0	0.662936513
49	83	0	0.67674769
50	84	0	0.690558868
51	86	0	0.704370045
52	87	0	0.718181222
53	88	0	0.7319924
54	90	0	0.745803577
55	91	0	0.759614754
56	93	0	0.773425932
57	94	0	0.787237109
58	96	0	0.801048287
59	97	0	0.814859464
60	98	0	0.828670641
61	100	0	0.842481819
62	101	0	0.856292996
63	102	0	0.870104173
64	104	0	0.883915351
65	105	0	0.897726528
66	106	0	0.911537705
67	108	0	0.925348883
68	109	0	0.93916006
69	111	0	0.952971237
70	112	0	0.966782415
71	113	0	0.980593592
72	115	0	0.994404769
73	116	0	1.00821595
74	117	0	1.02202712
75	119	0	1.0358383
76	120	0	1.04964948
77	122	0	1.06346066
78	123	0	1.07727183
79	124	0	1.09108301
80	126	0	1.10489419
81	127	0	1.11870537
82	129	0	1.13251654
83	130	0	1.14632772
84	131	0	1.1601389
85	133	0	1.17395008
86	134	0	1.18776125
87	136	0	1.20157243
88	137	0	1.21538361
89	139	0	1.22919478
90	140	0	1.24300596
91	141	0	1.25681714
92	143	0	1.27062832
93	144	0	1.28443949
94	146	0	1.29825067
95	150	0	1.31206185
96	154	0	1.32587303
97	159	0	1.3396842
98	163	0	1.35349538
99	166	0	1.36730656
100	169	0	1.38111774
101	173	0	1.39492891
102	176	0	1.40874009
103	179	0	1.42255127
104	182	0	1.43636244
105	185	0	1.45017362
106	188	0	1.4639848
107	190	0	1.47779598
108	194	0	1.49160715
109	195	0	1.50541833
110	198	0	1.51922951
111	201	0	1.53304069
112	204	0	1.54685186
113	206	0	1.56066304
114	208	0	1.57447422
115	210	0	1.5882854
116	211	0	1.60209657
117	213	0	1.61590775
118	217	0	1.62971893
119	221	0	1.64353011
120	223	0	1.65734128
121	225	0	1.67115246
122	228	0	1.68496364
123	230	0	1.69877481
124	232	0	1.71258599
125	234	0	1.72639717
126	237	0	1.74020835
127	239	0	1.75401952
128	241	0	1.7678307
129	244	0	1.78164188
130	247	0	1.79545306
131	249	0	1.80926423
132	251	0	1.82307541
133	253	0	1.83688659
134	256	0	1.85069777
135	260	0	1.86450894
136	262	0	1.87832012
137	266	0	1.8921313
138	270	0	1.90594247
139	272	0	1.91975365
140	275	0	1.93356483
141	278	0	1.94737601
142	280	0	1.96118718
143	281	0	1.97499836
144	283	0	1.98880954
145	285	0	2.00262072
146	287	0	2.01643189
147	289	0	2.03024307
148	291	0	2.04405425
149	295	0	2.05786543
150	298	0	2.0716766
151	299	0	2.08548778
152	301	0	2.09929896
153	303	0	2.11311014
154	305	0	2.12692131
155	307	0	2.14073249
156	309	0	2.15454367
157	311	0	2.16835484
158	315	0	2.18216602
159	320	0	2.1959772
160	324	0	2.20978838
161	327	0	2.22359955
162	329	0	2.23741073
163	331	0	2.25122191
164	333	0	2.26503309
165	335	0	2.27884426
166	337	0	2.29265544
167	338	0	2.30646662
168	340	0	2.3202778
169	342	0	2.33408897
170	344	0	2.34790015
171	346	0	2.36171133
172	348	0	2.3755225
173	350	0	2.38933368
174	352	0	2.40314486
175	353	0	2.41695604
176	355	0	2.43076721
177	357	0	2.44457839
178	359	0	2.45838957
179	361	0	2.47220075
180	363	0	2.48601192
181	365	0	2.4998231
182	366	0	2.51363428
183	368	0	2.52744546
184	370	0	2.54125663
185	372	0	2.55506781
186	374	0	2.56887899
187	376	0	2.58269017
188	378	0	2.59650134
189	381	0	2.61031252
190	383	0	2.6241237
191	386	0	2.63793487
192	388	0	2.65174605
193	391	0	2.66555723
194	394	0	2.67936841
195	397	0	2.69317958
196	399	0	2.70699076
197	402	0	2.72080194
198	404	0	2.73461312
199	405	0	2.74842429
200	407	0	2.76223547
